,Japanese,English
0,mizu,water
1,ki,tree
2,sora,sky
3,yama,mountain
4,kawa,river
5,gakkou,school
6,hon,book
7,hito,person
8,nomu,drink
9,hanasu,speak
10,miru,see
11,iku,go
12,kuru,come
13,inu,dog
14,tomodachi,friend
15,ie,house
16,ai,love
17,kuruma,car
18,densha,train
19,eki,station
20,kaisha,company
21,sensei,teacher
22,seito,student
23,kaze,wind
24,hana,flower
25,tori,bird
26,umi,sea
27,kumo,cloud
28,tenki,weather
29,yasai,vegetable
30,kudamono,fruit
31,okane,money
32,jikan,time
33,asagohan,breakfast
34,hirugohan,lunch
35,bangohan,dinner
